"","Module","KO","Sub_MO","Class"
"155",M00163,K02689;K02690;K02691;K02692;K02693;K02694,NA,Pathway modules; Energy metabolism; Photosynthesis
"156",M00165,K00855;K01601;K01602;K00927;K05298;K00150;K00134;K01803;K01623;K01624;K03841;K02446;K11532;K01086;K00615;K01100;K11532;K01086;K01807;K01808;K01783,NA,Pathway modules; Energy metabolism; Carbon fixation
"157",M00168,K01595;K00025;K00026;K00024,NA,Pathway modules; Energy metabolism; Carbon fixation
"158",M00169,K00029;K01006,NA,Pathway modules; Energy metabolism; Carbon fixation
"159",M00170,K01595;K14454;K14455;K01610,NA,Pathway modules; Energy metabolism; Carbon fixation
"160",M00171,K01595;K14454;K14455;K00025;K00026;K00028;K00814;K14272;K01006,NA,Pathway modules; Energy metabolism; Carbon fixation
"161",M00172,K01595;K00051;K00029;K01006,NA,Pathway modules; Energy metabolism; Carbon fixation
"162",M00173,K00169;K00170;K00171;K00172;K03737;K01007;K01006;K01595;K01959;K01960;K01958;K00024;K01676;K01679;K01677;K01678;K00239;K00240;K00241;K00242;K18556;K18557;K18558;K18559;K18560;K01902;K01903;K00174;K00175;K00177;K00176;K00031;K01681;K27802;K01682;K15230;K15231;K15232;K15233;K15234,NA,Pathway modules; Energy metabolism; Carbon fixation
"163",M00174,K10944;K10945;K10946;K16157;K16158;K16159;K16160;K16161;K16162 methane monooxygenase component D [RN:R01142];K14028;K14029;K23995,NA,Pathway modules; Energy metabolism; Methane metabolism
"164",M00175,K02588;K02586;K02591;K00531;K22896;K22897;K22898;K22899,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"165",M00176,K13811;K00958;K00955;K00957;K00956;K13811;K00860;K00955;K00390;K05907;K00380;K00381;K00392,NA,Pathway modules; Energy metabolism; Sulfur metabolism
"166",M00307,K00163;K00161;K00162;K00627;K00382;K13997;K00169;K00170;K00171;K00172;K00189;K03737,NA,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
"167",M00308,K05308;K00874;K01625;K00134;K00927;K00131;K18978,NA,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
"168",M00309,K05308;K11395;K18127;K18020;K18021;K18022;K18128;K03738,NA,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism
"169",M00338,K01697;K10150;K01758,NA,Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism
"170",M00344,K17100;K00863;K01624;K03841,NA,Pathway modules; Energy metabolism; Methane metabolism
"171",M00345,K08093;K13812;K13831;K08094;K13831;K00850;K16370;K21071;K01624,NA,Pathway modules; Energy metabolism; Methane metabolism
"172",M00346,K00600;K00830;K00018;K11529;K01689;K01595;K00024;K08692;K14067;K08691,NA,Pathway modules; Energy metabolism; Methane metabolism
